City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,malvan,16.0667,73.4667,27.3,71,5,4.93,IN,1682351378
134,ghanzi,-21.5667,21.7833,26.39,26,87,7.02,BW,1682351378
135,punta arenas,-53.15,-70.9167,6.06,93,100,3.6,CL,1682351378
136,imeni morozova,59.9757,31.0376,12.02,64,83,1.94,RU,1682351378
137,vorgashor,67.5833,63.95,-7.07,94,93,5.51,RU,1682351378
138,ola,59.5833,151.2833,1.19,81,100,4.6,RU,1682351379
139,flin flon,54.7682,-101.865,-0.09,59,40,3.09,CA,1682351379
140,sitka,57.0531,-135.33,5.94,75,100,4.12,US,1682351379
141,cabo san lucas,22.8909,-109.9124,29.23,54,0,3.09,MX,1682351097
142,bathsheba,13.2167,-59.5167,29.34,79,20,2.57,BB,1682351379
143,ilulissat,69.2167,-51.1,1.01,93,75,3.09,GL,1682351379
144,qaqortoq,60.7167,-46.0333,2.15,84,51,2.36,GL,1682351379
145,montrose,38.4166,-108.2673,4.74,59,84,1.35,US,1682351344
146,buka,40.8108,69.1986,20.02,47,9,3.56,UZ,1682351379
147,karwar,14.8,74.1333,25.57,80,27,4.55,IN,1682351380
148,port augusta,-32.5,137.7667,18.96,45,49,1.81,AU,1682351380
149,hauterive,46.0901,3.4459,16.42,58,100,4.11,FR,1682351380
150,lichuan,30.3,108.85,5.86,95,100,0.38,CN,1682351380
151,enewetak,11.3474,162.3373,26.32,86,100,8.6,MH,1682351381
152,konarka,19.9,86.1167,28.22,76,51,4.25,IN,1682351381
153,kapuskasing,49.4169,-82.4331,-0.95,80,100,4.63,CA,1682351381
154,gujba,11.5032,11.9367,36.15,26,100,3.0,NG,1682351381
155,palikir - national government center,6.9248,158.1611,27.47,77,92,6.56,FM,1682351381
156,kayangel,8.0823,134.7173,28.16,70,48,1.98,PW,1682351381
157,hawaiian paradise park,19.5933,-154.9731,21.13,95,75,0.0,US,1682351381
158,korla,41.7597,86.1469,15.39,36,4,1.06,CN,1682351382
159,elista,46.3078,44.2558,15.32,67,66,6.0,RU,1682351382
160,lazaro cardenas,17.9583,-102.2,27.53,63,100,1.41,MX,1682351382
161,haiku-pauwela,20.9219,-156.3051,20.58,79,60,1.4,US,1682351382
162,ad dawadimi,24.5077,44.3924,21.64,37,85,6.42,SA,1682351382
163,port lincoln,-34.7333,135.8667,18.89,75,99,3.76,AU,1682351382
164,blagodatnoye,45.3997,42.5867,15.51,69,100,2.52,RU,1682351382
165,puerto armuelles,8.2833,-82.8667,29.99,64,91,3.0,PA,1682351382
166,woods creek,47.8787,-121.8985,8.45,82,99,0.89,US,1682351382
167,letlhakane,-21.4167,25.5833,27.06,21,4,1.27,BW,1682351382
168,kurumkan,54.3,110.3,-3.42,46,76,1.13,RU,1682351383
169,puerto real,36.5282,-6.1901,32.07,50,0,6.69,ES,1682351383
170,beitbridge,-22.2167,30.0,26.74,41,2,5.03,ZW,1682351383
171,palmer,42.1584,-72.3287,13.61,68,100,3.09,US,1682351383
172,bredasdorp,-34.5322,20.0403,18.16,76,7,6.0,ZA,1682351383
173,happy valley-goose bay,53.3168,-60.3315,9.17,57,20,2.06,CA,1682351093
174,tres palos,18.1833,-101.6167,29.33,45,100,1.66,MX,1682351383
175,iwanai,42.9744,140.5089,4.75,80,37,3.26,JP,1682351383
176,milas,37.3164,27.7839,18.64,59,20,7.2,TR,1682351383
177,mutoko,-17.397,32.2268,20.77,43,91,3.74,ZW,1682351384
178,port alfred,-33.5906,26.891,21.21,90,100,1.79,ZA,1682351384
179,nar'yan-mar,67.6713,53.087,-4.69,88,61,3.89,RU,1682351384
180,pindushi,62.9152,34.58,8.68,86,78,3.89,RU,1682351384
181,longyearbyen,78.2186,15.6401,-5.09,63,0,2.06,SJ,1682351384
182,saldanha,-33.0117,17.9442,17.18,91,52,2.19,ZA,1682351385
183,kiunga,-6.1219,141.2906,22.32,99,100,0.31,PG,1682351385
184,callao,-12.0667,-77.15,26.16,61,0,7.2,PE,1682351385
185,talnakh,69.4865,88.3972,1.23,80,43,3.93,RU,1682351385
186,ust-nera,64.5667,143.2,-11.55,97,86,2.91,RU,1682351385
187,tarakan,3.3,117.6333,28.28,75,30,3.19,ID,1682351385
188,cambria,35.5641,-121.0808,16.45,59,29,2.09,US,1682351385
189,gazli,40.1333,63.45,26.26,14,100,10.67,UZ,1682351385
190,kirkwall,58.9848,-2.9587,5.03,70,40,9.26,GB,1682351386
191,al quwayrah,29.8004,35.3116,26.0,29,0,6.76,JO,1682351386
192,dudinka,69.4058,86.1778,1.46,76,88,8.05,RU,1682351336
193,tadine,-21.55,167.8833,23.91,83,89,4.73,NC,1682351386
194,cova figueira,14.8905,-24.2934,21.87,68,3,9.78,CV,1682351386
195,san julian,21.0167,-102.1667,23.89,15,30,5.33,MX,1682351386
196,inhambane,-23.865,35.3833,26.99,65,20,3.13,MZ,1682351387
197,ust'-kut,56.7938,105.7672,-3.44,95,100,1.24,RU,1682351387
198,udachny,66.4167,112.4,-12.85,100,28,1.32,RU,1682351387
199,katsuura,35.1333,140.3,12.25,63,100,4.63,JP,1682351387
200,castillos,-34.1667,-53.8333,23.79,61,59,3.82,UY,1682351387
201,taiynsha,53.8478,69.7639,8.97,45,90,2.55,KZ,1682351387
202,peniche,39.3558,-9.3811,23.93,71,62,5.9,PT,1682351387
203,ciudad sabinas hidalgo,26.5,-100.1667,15.81,77,100,1.12,MX,1682351387
204,umluj,25.0213,37.2685,26.58,61,0,4.15,SA,1682351388
205,olinda,-8.0089,-34.8553,28.85,70,75,5.66,BR,1682351271
206,saint-francois,46.4154,3.9054,14.69,56,75,4.63,FR,1682351300
207,thunder bay,48.4001,-89.3168,0.99,60,75,3.6,CA,1682351374
